answered,blockNum,choice,condition,corResp,correct,correct_response,explo,fb,internal_node_id,isStable_1,isStable_2,isStable_3,key_press,newBlock,part,persev,persevResp,rt,sessNum,stableAS,stimulus,subject,task,time_elapsed,training,trap,trial_index,trial_type,trialsInBlock
true,1,1,0,2,false,d,true,false,0.0-2.0-0.0-0.0-3.0,0,0,0,90,true,stim,false,-1,868.5999999999767,0,0,0,86720,task2,253758,false,false,79,image-keyboard-response,1
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.1-3.1,0,0,0,90,false,stim,false,-1,645.9000000000233,0,0,1,86720,task2,255910,false,false,82,image-keyboard-response,2
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.2-3.2,0,0,0,90,false,stim,false,-1,782.0999999999767,0,0,1,86720,task2,258197,false,false,85,image-keyboard-response,3
true,1,2,0,1,false,z,true,false,0.0-2.0-0.0-0.3-3.3,0,0,0,68,false,stim,false,-1,1223.1999999999534,0,0,2,86720,task2,260926,false,false,88,image-keyboard-response,4
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.4-3.4,0,0,0,90,false,stim,false,-1,414.4000000000233,0,0,2,86720,task2,262847,false,false,91,image-keyboard-response,5
true,1,0,0,2,false,d,true,false,0.0-2.0-0.0-0.5-3.5,0,0,0,81,false,stim,false,-1,391.9000000000233,0,0,0,86720,task2,264746,false,false,94,image-keyboard-response,6
true,1,2,0,2,true,d,false,true,0.0-2.0-0.0-0.6-3.6,0,0,0,68,false,stim,false,-1,411.20000000006985,0,0,0,86720,task2,266662,false,false,97,image-keyboard-response,7
true,1,1,0,1,true,z,false,false,0.0-2.0-0.0-0.7-3.7,0,0,0,90,false,stim,false,-1,610.9000000000233,0,0,1,86720,task2,268779,false,true,100,image-keyboard-response,8
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.8-3.8,0,0,0,90,false,stim,false,-1,335.70000000006985,0,0,2,86720,task2,270622,false,false,103,image-keyboard-response,9
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.9-3.9,0,0,0,90,false,stim,false,-1,454.0,0,0,2,86720,task2,272581,false,false,106,image-keyboard-response,10
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.10-3.10,0,0,0,90,false,stim,false,-1,769.3000000000466,0,0,2,86720,task2,274856,false,false,109,image-keyboard-response,11
true,1,1,0,1,true,z,false,false,0.0-2.0-0.1-0.11-3.11,0,0,0,90,false,stim,false,-1,556.5999999999767,0,0,1,86720,task2,276920,false,true,112,image-keyboard-response,12
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.12-3.12,0,0,0,90,false,stim,false,-1,878.5,0,0,1,86720,task2,279305,false,false,115,image-keyboard-response,13
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.13-3.13,0,0,0,68,false,stim,false,-1,533.5,0,0,0,86720,task2,281344,false,false,118,image-keyboard-response,14
true,1,1,0,1,true,z,false,false,0.0-2.0-0.1-0.14-3.14,0,0,0,90,false,stim,false,-1,387.19999999995343,0,0,2,86720,task2,283236,false,true,121,image-keyboard-response,15
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.15-3.15,0,0,0,68,false,stim,false,-1,591.4000000000233,0,0,0,86720,task2,285334,false,false,124,image-keyboard-response,16
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.16-3.16,0,0,0,68,false,stim,false,-1,629.3000000000466,0,0,0,86720,task2,287469,false,false,127,image-keyboard-response,17
