answered,blockNum,choice,condition,corResp,correct,correct_response,explo,fb,internal_node_id,isStable_1,isStable_2,isStable_3,key_press,newBlock,part,persev,persevResp,rt,sessNum,stableAS,stimulus,subject,task,time_elapsed,training,trap,trial_index,trial_type,trialsInBlock
true,1,2,0,2,true,d,false,true,0.0-2.0-0.0-0.0-3.0,0,0,0,68,true,stim,false,-1,830.7000000058906,1,0,1,62384,WMM1,138746,false,false,142,image-keyboard-response,1
true,1,1,0,2,false,d,true,false,0.0-2.0-0.0-0.1-3.1,0,0,0,90,false,stim,false,-1,529.5249999981024,1,0,2,62384,WMM1,140787,false,false,145,image-keyboard-response,2
true,1,2,0,2,true,d,false,true,0.0-2.0-0.0-0.2-3.2,0,0,0,68,false,stim,false,-1,305.594999997993,1,0,1,62384,WMM1,142601,false,false,148,image-keyboard-response,3
true,1,0,0,2,false,d,true,false,0.0-2.0-0.0-0.3-3.3,0,0,0,81,false,stim,false,-1,417.7849999978207,1,0,2,62384,WMM1,144530,false,false,151,image-keyboard-response,4
true,1,1,0,0,false,q,true,false,0.0-2.0-0.0-0.4-3.4,0,0,0,90,false,stim,false,-1,570.0299999953131,1,0,0,62384,WMM1,146609,false,false,154,image-keyboard-response,5
true,1,0,0,0,true,q,false,false,0.0-2.0-0.0-0.5-3.5,0,0,0,81,false,stim,false,-1,475.3850000051898,1,0,0,62384,WMM1,148599,false,true,157,image-keyboard-response,6
true,1,2,0,2,true,d,false,true,0.0-2.0-0.0-0.6-3.6,0,0,0,68,false,stim,false,-1,313.17000000126427,1,0,1,62384,WMM1,150421,false,false,160,image-keyboard-response,7
true,1,2,0,0,false,q,true,false,0.0-2.0-0.0-0.7-3.7,0,0,0,68,false,stim,false,-1,371.72000000282424,1,0,0,62384,WMM1,152305,false,false,163,image-keyboard-response,8
true,1,2,0,2,true,d,false,true,0.0-2.0-0.0-0.8-3.8,0,0,0,68,false,stim,false,-1,508.25500000064494,1,0,2,62384,WMM1,154326,false,false,166,image-keyboard-response,9
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.9-3.9,0,0,0,68,false,stim,false,-1,453.28000000154134,1,0,1,62384,WMM1,156286,false,false,169,image-keyboard-response,10
true,1,0,0,0,true,q,false,true,0.0-2.0-0.1-0.10-3.10,0,0,0,81,false,stim,false,-1,513.440000002447,1,0,0,62384,WMM1,158308,false,false,172,image-keyboard-response,11
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.11-3.11,0,0,0,68,false,stim,false,-1,364.064999994298,1,0,2,62384,WMM1,160179,false,false,175,image-keyboard-response,12
true,1,0,0,0,true,q,false,false,0.0-2.0-0.1-0.12-3.12,0,0,0,81,false,stim,false,-1,531.8249999982072,1,0,0,62384,WMM1,162222,false,true,178,image-keyboard-response,13
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.13-3.13,0,0,0,68,false,stim,false,-1,410.2950000014971,1,0,1,62384,WMM1,164144,false,false,181,image-keyboard-response,14
true,1,1,0,0,false,q,true,false,0.0-2.0-0.1-0.14-3.14,0,0,0,90,false,stim,false,-1,590.5950000014855,1,0,0,62384,WMM1,166246,false,false,184,image-keyboard-response,15
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.15-3.15,0,0,0,68,false,stim,false,-1,448.3299999992596,1,0,2,62384,WMM1,168205,false,false,187,image-keyboard-response,16
true,1,1,0,2,false,d,true,false,0.0-2.0-0.1-0.16-3.16,0,0,0,90,false,stim,false,-1,537.465000001248,1,0,1,62384,WMM1,170250,false,false,190,image-keyboard-response,17
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.17-3.17,0,0,0,68,false,stim,false,-1,362.6850000000559,1,0,2,62384,WMM1,172118,false,false,193,image-keyboard-response,18
true,1,2,0,2,true,d,false,true,0.0-2.0-0.2-0.18-3.18,0,0,0,68,false,stim,false,-1,305.16000000352506,1,0,1,62384,WMM1,173937,false,false,196,image-keyboard-response,19
true,1,0,0,0,true,q,false,true,0.0-2.0-0.2-0.19-3.19,0,0,0,81,false,stim,false,-1,648.3350000053179,1,0,0,62384,WMM1,176096,false,false,199,image-keyboard-response,20
true,1,2,0,2,true,d,false,true,0.0-2.0-0.2-0.20-3.20,0,0,0,68,false,stim,false,-1,344.16000000055647,1,0,1,62384,WMM1,177953,false,false,202,image-keyboard-response,21
true,1,2,0,2,true,d,false,true,0.0-2.0-0.2-0.21-3.21,0,0,0,68,false,stim,false,-1,280.95500000199536,1,0,2,62384,WMM1,179746,false,false,205,image-keyboard-response,22
true,1,2,0,2,true,d,false,true,0.0-2.0-0.2-0.22-3.22,0,0,0,68,false,stim,false,-1,861.4200000010896,1,0,2,62384,WMM1,182121,false,false,208,image-keyboard-response,23
true,1,0,0,0,true,q,false,true,0.0-2.0-0.2-0.23-3.23,0,0,0,81,false,stim,false,-1,786.2099999983911,1,0,0,62384,WMM1,184414,false,false,211,image-keyboard-response,24
true,1,2,0,2,true,d,false,true,0.0-2.0-0.2-0.24-3.24,0,0,0,68,false,stim,false,-1,453.6000000007334,1,0,1,62384,WMM1,186374,false,false,214,image-keyboard-response,25
